video_path,anonymized,temp_res_text
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/germany_bundesliga_2015-2016/2015-10-24 - 16-30 Bayern Munich 4 - 0 FC Koln/2_44_00.mp4,"[PLAYER] ([TEAM]) sprays a pass out to [PLAYER], but he can't beat his man to get to the ball.","[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool/2_02_08.mp4,[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.,[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2017-05-06 - 17-00 Leicester 3 - 0 Watford/1_13_05.mp4,[PLAYER] ([TEAM]) is adjudged offside.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2017-05-06 - 17-00 Leicester 3 - 0 Watford/2_12_17.mp4,Goal! [PLAYER] ([TEAM]) fires the rebound into the bottom right corner after the ball breaks to him in the box. The score is 2:0.,"Goal! [PLAYER] ([TEAM]) weaves his way past opponents, and he unleashes a magnificent effort from the edge of the box into the bottom left corner. [PLAYER] had no chance of reaching it. The score is 0:1."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2017-01-21 - 15-30 Liverpool 2 - 3 Swansea/2_46_36.mp4,"[PLAYER] ([TEAM]) has picked up a minor injury, but it looks like he will be able to continue.",[PLAYER] ([TEAM]) brings his opponent down. [REFEREE] has a clear sight of it and blows his whistle for a foul.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2015-2016/2016-03-01 - 22-45 Norwich 1 - 2 Chelsea/2_35_19.mp4,"[PLAYER] ([TEAM]) attempts to send over a cross in order to find one of his teammates, but an opposition defender averts the danger by intercepting the effort.","[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2015-2016/2015-10-24 - 17-00 West Ham 2 - 1 Chelsea/2_16_26.mp4,[PLAYER] ([TEAM]) is having a really tough time right now. We are about to find out how serious his injury is.,"[PLAYER] ([TEAM]) requires medical treatment, so the referee stops play and signals for the physio to come onto the pitch."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2014-2015/2015-04-25 - 17-00 Espanyol 0 - 2 Barcelona/2_33_45.mp4,It's time for a substitution. [PLAYER] ([TEAM]) comes on in place of [PLAYER].,[PLAYER] ([TEAM]) is having a really tough time right now. We are about to find out how serious his injury is.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2015-2016/2015-11-08 - 19-00 Arsenal 1 - 1 Tottenham/2_04_47.mp4,[REFEREE] blows his whistle and it's [PLAYER] ([TEAM]) who is penalised for an offensive foul. Good decision by the referee.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/germany_bundesliga_2015-2016/2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen/2_24_48.mp4,[PLAYER] ([TEAM]) is going to take the penalty!,[PLAYER] ([TEAM]) will take the responsibility and he is already preparing the ball.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2014-2015/2015-04-18 - 21-00 Real Madrid 3 - 1 Malaga/2_37_06.mp4,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball goes out of play. [TEAM] are awarded a corner kick.,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball is out of play. [TEAM] will have a chance to score from a corner."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2015-2016/2015-11-03 - 22-45 Sevilla 1 - 3 Manchester City/2_24_02.mp4,"[PLAYER] ([TEAM]) slaloms his way past challenges, but an opposing player does well to get the ball away.","[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2016-09-11 - 16-00 AC Milan 0 - 1 Udinese/2_20_20.mp4,"A horde of players are waiting inside the penalty area for a cross from the corner, but [PLAYER] ([TEAM]) takes it short.","[PLAYER] ([TEAM]) swings in a cross, but the ball is cleared to safety by one of the defending players. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2016-2017/2016-11-01 - 20-45 Besiktas 1 - 1 Napoli/2_01_40.mp4,"A cross, provided by [PLAYER] ([TEAM]), caused no threat to the opposition's defence as the ball was cleared out of danger.",[PLAYER] ([TEAM]) is booked after bringing down an opponent. [REFEREE] had an easy-decision to make.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2016-11-20 - 17-00 Atalanta 2 - 1 AS Roma/2_43_12.mp4,"The [TEAM] players are exchanging some short passes and control the game at the moment, but one of the defending players steps in and intercepts the ball.",[PLAYER] ([TEAM]) takes the corner but fails to find any of his teammates as he overhits the effort.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2017-02-26 - 22-45 Inter 1 - 3 AS Roma/2_43_02.mp4,We are about to witness a substitution. [PLAYER] ([TEAM]) is replacing [PLAYER].,The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) is coming onto the pitch as [PLAYER] cannot continue after picking up an injury.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2016-10-02 - 21-45 AS Roma 2 - 1 Inter/2_35_27.mp4,"[TEAM] are playing possession football and controlling the game at present. They are exchanging inch-perfect passes from player to player, making it difficult for the opposition to win the ball.",[REFEREE] blows his whistle after [PLAYER] ([TEAM]) brings one of his opponents down with a strong tackle.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2015-2016/2015-12-05 - 18-00 Real Madrid 4 - 1 Getafe/2_23_58.mp4,[PLAYER] ([TEAM]) tries to slide the ball through to a teammate but it's well blocked by a defender. The referee points to the corner flag. It's a corner to [TEAM].,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger. The ball goes out for a corner. [TEAM] can continue in their attacking effort."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/germany_bundesliga_2015-2016/2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen/2_08_09.mp4,[PLAYER] ([TEAM]) goes on a weaving run through the defence and gets within shooting range but his effort is blocked.,[PLAYER] ([TEAM]) receives a precise pass and is given time inside the box to send a promising strike towards the middle of the goal. [PLAYER] guesses his intention and denies him with a fine save.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2015-2016/2015-10-24 - 17-00 West Ham 2 - 1 Chelsea/2_35_48.mp4,[PLAYER] ([TEAM]) is booked.,[PLAYER] ([TEAM]) is booked after bringing down an opponent. [REFEREE] had an easy-decision to make.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2016-2017/2016-09-21 - 21-00 Real Madrid 1 - 1 Villarreal/2_00_01.mp4,The half-time break is over and the second half is about to start.,The half-time break is over and the second half is about to start.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2017-02-25 - 20-00 Napoli 0 - 2 Atalanta/2_34_45.mp4,"[PLAYER] ([TEAM]) swings in the corner, but fails to find any of his teammates. One of the defenders reacts superbly to get it clear.",[PLAYER] ([TEAM]) takes the corner but fails to find any of his teammates as he overhits the effort.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2015-2016/2015-10-24 - 17-00 West Ham 2 - 1 Chelsea/1_44_53.mp4,"The main referee, [REFEREE], is apparently not going to tolerate any discussions. [PLAYER] ([TEAM]) is given a yellow card for dissent.",The fourth official shows 4 min. of added time.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/germany_bundesliga_2015-2016/2015-11-08 - 17-30 Dortmund 3 - 2 Schalke/1_12_03.mp4,[PLAYER] ([TEAM]) fails to find any of his teammates inside the box as his pass is blocked.,"[PLAYER] ([TEAM]) delivers a long ball, but it lacks enough power to reach his teammates and is intercepted by one of the defenders."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2014-2015/2015-04-22 - 21-45 Real Madrid 1 - 0 Atl. Madrid/2_40_12.mp4,[PLAYER] ([TEAM]) is able to continue to play.,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2016-2017/2016-11-26 - 18-15 Real Madrid 2 - 1 Gijon/1_43_17.mp4,[PLAYER] ([TEAM]) pulls the jersey of one of the opposition players and [REFEREE] blows his whistle for a foul. [TEAM] have a free kick.,[PLAYER] ([TEAM]) brings his opponent down. [REFEREE] has a clear sight of it and blows his whistle for a foul.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2014-2015/2015-04-25 - 17-00 Espanyol 0 - 2 Barcelona/2_45_42.mp4,[PLAYER] ([TEAM]) races towards goal but the defender gets back well to make a challenge. The ball is off of the pitch and it's a goal kick for [TEAM].,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2015-2016/2015-12-05 - 18-00 Real Madrid 4 - 1 Getafe/2_12_22.mp4,[PLAYER] ([TEAM]) was too forceful with his tackle and [REFEREE] interrupted the game to signal a free kick.,"[PLAYER] ([TEAM]) requires medical treatment, so the referee stops play and signals for the physio to come onto the pitch."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2016-2017/2017-04-26 - 20-30 Barcelona 7 - 1 Osasuna/2_20_54.mp4,"[PLAYER] ([TEAM]) trips an opponent with a slide tackle. [REFEREE] stops the game and he could give him a card, but eventually decides on just a warning. A penalty is awarded to [TEAM]!","[PLAYER] ([TEAM]) takes a shot from the edge of the box, but it's not a big threat for the goalkeeper as his effort is blocked by a defender."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/germany_bundesliga_2015-2016/2015-11-08 - 17-30 Dortmund 3 - 2 Schalke/1_27_35.mp4,"The resulting corner, taken by [PLAYER] ([TEAM]), comes to nothing.","[PLAYER] ([TEAM]) steps up to take the corner. He launches the ball into the penalty area, but it only finds the head of an opposing player who clears the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2016-2017/2016-09-24 - 21-45 Las Palmas 2 - 2 Real Madrid/1_17_12.mp4,"[PLAYER] ([TEAM]) picks up a pass and unleashes a low shot towards goal, but he can't generate enough power to trouble [PLAYER].","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/germany_bundesliga_2015-2016/2015-11-08 - 17-30 Dortmund 3 - 2 Schalke/1_42_23.mp4,[PLAYER] ([TEAM]) looks like he will be the one to take the corner kick.,"[PLAYER] ([TEAM]) steps up to take the corner. He launches the ball into the penalty area, but it only finds the head of an opposing player who clears the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/germany_bundesliga_2015-2016/2015-10-24 - 16-30 Bayern Munich 4 - 0 FC Koln/1_42_05.mp4,[PLAYER] ([TEAM]) produces a dangerous lofted cross into the box which is intercepted. The ball is out of play. [TEAM] will take a throw-in.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2016-2017/2017-03-08 - 22-45 Barcelona 6 - 1 Paris SG/2_04_10.mp4,[PLAYER] ([TEAM]) confidently powers his spot-kick into the left side of the goal.,[PLAYER] ([TEAM]) will take the responsibility and he is already preparing the ball.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2017-01-21 - 15-30 Liverpool 2 - 3 Swansea/2_46_28.mp4,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on.",[PLAYER] ([TEAM]) brings his opponent down. [REFEREE] has a clear sight of it and blows his whistle for a foul.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2016-2017/2017-04-26 - 20-30 Barcelona 7 - 1 Osasuna/1_11_44.mp4,Goal! [PLAYER] ([TEAM]) skips past challenges and from close range brilliantly chips the ball over [PLAYER]. 1:0. Wonderful individual effort.,Goal! [PLAYER] ([TEAM]) pounced on a loose ball inside the box and beats the goalkeeper with a low shot into the middle of the net. He makes it 0:1.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2014-2015/2015-03-10 - 22-45 Real Madrid 3 - 4 Schalke/2_00_57.mp4,"A neat pass is well received by [PLAYER] ([TEAM]), who is lurking on the edge of the box and strikes the ball towards the middle of the target. The goalkeeper makes a decent save to block his shot.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool/2_39_04.mp4,"[PLAYER] ([TEAM]) timed his run perfectly to connect with the resulting corner kick, but his finish from around the penalty spot was rather poor as it went way over the bar.","[PLAYER] ([TEAM]) steps up to take the corner. He launches the ball into the penalty area, but it only finds the head of an opposing player who clears the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2015-2016/2015-09-26 - 19-30 Newcastle Utd 2 - 2 Chelsea/2_27_41.mp4,Substitution.  [PLAYER] makes way for  [PLAYER] ([TEAM]).,The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) is coming onto the pitch as [PLAYER] cannot continue after picking up an injury.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2015-2016/2015-08-29 - 21-45 AC Milan 2 - 1 Empoli/1_10_30.mp4,"[PLAYER] ([TEAM]) found some space to play in a lofted pass, but he looks disappointed as none of his teammates managed to connect with it.","[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool/2_24_46.mp4,[PLAYER] ([TEAM]) is caught offside!,[PLAYER] ([TEAM]) is having a really tough time right now. We are about to find out how serious his injury is.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2017-01-29 - 17-00 Sampdoria 3 - 2 AS Roma/1_40_41.mp4,[PLAYER] ([TEAM]) fails to send a pass into the box as his effort is cut out. The ball goes out of play. [TEAM] are awarded a corner kick.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger. The ball goes out for a corner. [TEAM] can continue in their attacking effort."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2016-10-02 - 21-45 AS Roma 2 - 1 Inter/2_44_13.mp4,That will be all from [PLAYER] who is being replaced by the fresh legs of [PLAYER] ([TEAM]).,The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) is coming onto the pitch as [PLAYER] cannot continue after picking up an injury.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2017-01-21 - 15-30 Liverpool 2 - 3 Swansea/2_14_28.mp4,[PLAYER] ([TEAM]) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.,[PLAYER] ([TEAM]) gives away a foul for a clumsy challenge. Referee [REFEREE] saw the whole situation.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2016-10-15 - 14-30 Chelsea 3 - 0 Leicester/2_22_30.mp4,"Substitution. [PLAYER] ([TEAM]) in, [PLAYER] out.",The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) is coming onto the pitch as [PLAYER] cannot continue after picking up an injury.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2015-2016/2015-08-23 - 15-30 West Brom 2 - 3 Chelsea/2_04_59.mp4,[PLAYER] ([TEAM]) gets on the end of a pass on the edge of the box but his shot is blocked. The referee points to the corner flag. It's a corner to [TEAM].,"[PLAYER] ([TEAM]) takes a mid-range shot, but it lacks accuracy and it goes way over the bar. The ball is off of the pitch and it's a goal kick for [TEAM]."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2015-2016/2016-03-02 - 23-00 Levante 1 - 3 Real Madrid/1_25_45.mp4,[PLAYER] ([TEAM]) is about to take a corner kick.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger. The ball goes out for a corner. [TEAM] can continue in their attacking effort."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2015-2016/2016-03-02 - 23-00 Levante 1 - 3 Real Madrid/2_22_08.mp4,[COACH] has decided to make a change. [PLAYER] ([TEAM]) replaces [PLAYER].,The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) is coming onto the pitch as [PLAYER] cannot continue after picking up an injury.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2016-12-04 - 17-00 Lazio 0 - 2 AS Roma/1_27_51.mp4,[PLAYER] ([TEAM]) is booked after bringing down an opponent. [REFEREE] had an easy-decision to make.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2016-2017/2016-12-18 - 22-45 Barcelona 4 - 1 Espanyol/1_13_25.mp4,The linesman raises his flag for offside before [PLAYER] ([TEAM]) heads on.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2016-09-11 - 16-00 AC Milan 0 - 1 Udinese/1_41_53.mp4,"[PLAYER] ([TEAM]) tries his luck from the edge of the box after a brilliant solo effort, but it is well blocked by the defender. [TEAM] earn a corner.","[PLAYER] ([TEAM]) receives a good pass just outside the box, unleashes a strike from a promising position, but the shot is blocked by the defender."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2016-09-11 - 16-00 AC Milan 0 - 1 Udinese/2_20_25.mp4,"[PLAYER] ([TEAM]) attempts to find the head of one of his teammates with a promising cross into the box, but a defender outjumps the attackers and averts the threat.","[PLAYER] ([TEAM]) whips the ball in, but it fails to reach any of his teammates as the opposition's defence averts the threat. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2014-2015/2015-02-24 - 22-45 Manchester City 1 - 2 Barcelona/2_00_26.mp4,"[PLAYER] ([TEAM]) puts a dangerous cross into the box, but the corner is cleared by the first man.",The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2016-2017/2016-11-23 - 22-45 Arsenal 2 - 2 Paris SG/2_25_12.mp4,[PLAYER] ([TEAM]) collects a pass and strikes from about 28 metres out. It's a poor attempt which flies well over the bar. The ball is off of the pitch and it's a goal kick for [TEAM].,"[PLAYER] ([TEAM]) latches on to a precise pass on the edge of the box, but miskicks his shot and the ball goes high over the bar. Poor effort!"
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2014-2015/2015-02-24 - 22-45 Manchester City 1 - 2 Barcelona/1_10_18.mp4,The [TEAM] players are exchanging short passes in an attempt to create a shooting opportunity.,"[TEAM] are playing possession football and controlling the game at present. They are exchanging inch-perfect passes from player to player, making it difficult for the opposition to win the ball."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2016-2017/2017-05-02 - 21-45 Real Madrid 3 - 0 Atl. Madrid/2_06_09.mp4,[PLAYER] ([TEAM]) takes the corner but fails to find any of his teammates.,[PLAYER] ([TEAM]) takes the corner but fails to find any of his teammates as he overhits the effort.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/spain_laliga_2016-2017/2016-12-18 - 22-45 Barcelona 4 - 1 Espanyol/1_17_12.mp4,[PLAYER] ([TEAM]) displays his superb passing ability after picking out [PLAYER] with a fine lofted pass to continue their attacking move.,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to get to the rebound inside the box and gleefully rifles the ball low inside the left post. It's 1:0.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/germany_bundesliga_2015-2016/2015-11-08 - 17-30 Dortmund 3 - 2 Schalke/1_25_11.mp4,"[PLAYER] ([TEAM]) sends a beautiful cross into the penalty area, but the opposition's defence manages to clear the ball to safety.",[PLAYER] ([TEAM]) takes the corner but fails to find any of his teammates as he overhits the effort.
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/europe_uefa-champions-league_2016-2017/2017-03-08 - 22-45 Barcelona 6 - 1 Paris SG/2_28_44.mp4,"[PLAYER] ([TEAM]) makes a good run with the ball into the box, but mishits his shot as it goes well wide of the right post.","[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/italy_serie-a_2016-2017/2017-02-26 - 22-45 Inter 1 - 3 AS Roma/1_18_03.mp4,The resulting corner from [PLAYER] ([TEAM]) comes to nothing.,"[PLAYER] ([TEAM]) swings in the corner, but fails to find any of his teammates. One of the defenders reacts superbly to get it clear."
/remote-home/jiayuanrao/dataset/matchtime/video_clips/SN-Caption-test-align/england_epl_2016-2017/2016-10-15 - 14-30 Chelsea 3 - 0 Leicester/1_27_45.mp4,"[PLAYER] ([TEAM]) sends in the corner, but fails to find the head of any of his teammates, allowing the defence to clear. The ball goes out of play. [TEAM] are awarded a corner kick.","[PLAYER] ([TEAM]) swings in a cross, but the ball is cleared to safety by one of the defending players. The ball goes behind for a corner. [TEAM] will have an opportunity to threaten the opposition's goal."
